all0,all1,all2,all3,all4,all5,all6,all7,all8,all9,all10,all11,all12,all13,all14,call0,call1,call2,call3,call4,call5,call6,call7,call8,call9,call10,call11,call12,call13,call14,mit0,mit1,mit2,mit3,mit4,mit5,mit6,mit7,mit8,mit9,mit10,mit11,mit12,mit13,mit14,rl0,rl1,rl2,rl3,rl4,rl5,rl6,rl7,rl8,rl9,rl10,rl11,rl12,rl13,rl14
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,2065,898,533,49737,42354,23682,6097,13274,15316,25243,10970,7650,6465,1272
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73,2247,1629,999,43911,61900,20679,14923,19336,13370,38262,27079,11475,16732,3462
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,2142,1085,626,49486,48461,23197,8285,15200,15161,28057,14332,8659,8326,1566
85,3461,1493,2077,58523,47831,29175,7774,36802,40812,70529,28904,49380,42789,19303,34,978,436,125,20978,19150,10661,2796,2898,3316,5510,2446,909,672,70,46,1336,734,301,29710,31299,13692,5435,5672,5488,12885,6610,2296,2771,364,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103,3127,2179,3074,36310,51330,20874,13560,40327,25865,76578,50769,55196,77861,34661,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,2230,1325,820,46278,54865,22781,10861,17258,14284,34363,19898,10603,12421,2580
89,3540,1684,2232,49686,50003,31505,10007,42065,38262,70155,33740,53616,49007,20810,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,2223,1283,797,46378,54149,23317,10209,16713,14502,33767,19099,10465,12004,2368
91,3558,1750,2345,45418,50166,33866,10356,42993,34651,70318,36224,56875,52234,22671,35,972,453,142,21179,19352,10365,2893,2870,3211,6124,2719,916,832,101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
89,3572,1715,2201,49671,50777,32377,10577,43400,38507,68809,34606,53975,48262,20119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,1314,611,250,28928,27538,14700,4118,5320,5595,11384,5023,2156,2040,299,58,2126,1011,642,48471,45766,23871,7094,14254,14962,29064,13363,8922,8608,1791
86,3561,1560,2095,53434,48164,33388,8803,40391,39664,68959,30489,52390,43653,19395,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,2130,965,631,47999,44336,24541,6465,13746,14908,29254,12715,9099,8250,1830
